Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26986333,12/25/2013 11:08:00 PM,12/25/2013 11:08:00 PM,DSNY,BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,Street,11218,,,DITMAS AVENUE,DAHILL ROAD,DITMAS AVENUE,DAHILL ROAD,INTERSECTION,BROOKLYN,,DSNY Garage,Pending,,12/25/2013 11:08:00 PM,12 BROOKLYN,BROOKLYN,990047,170785,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63544005448817,-73.97911362344288,"(40.63544005448817, -73.97911362344288)"
26985647,12/25/2013 11:06:42 PM,01/07/2014 11:58:21 AM,DOT,Department of Transportation,Street Sign - Damaged,Street Cleaning - ASP,Street,11366,73-15 PARSONS BOULEVARD,PARSONS BOULEVARD,73 AVENUE,75 AVENUE,,,ADDRESS,FRESH MEADOWS,,N/A,Closed,01/09/2014 08:54:06 AM,01/07/2014 11:58:21 AM,08 QUEENS,QUEENS,1036695,204204,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72701403211389,-73.81078280545647,"(40.72701403211389, -73.81078280545647)"
26984326,12/25/2013 11:06:16 PM,12/26/2013 06:52:34 AM,NYPD,New York City Police Department,Animal Abuse,Tortured,Street/Sidewalk,10458,2390 VALENTINE AVENUE,VALENTINE AVENUE,EAST 184 STREET,EAST 187 STREET,,,ADDRESS,BRONX,,Precinct,Closed,12/26/2013 07:06:16 AM,12/26/2013 06:52:34 AM,05 BRONX,BRONX,1012701,252340,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85924394615962,-73.89714713084604,"(40.85924394615962, -73.89714713084604)"
26984881,12/25/2013 11:03:28 PM,12/26/2013 12:19:34 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,,,,,GEORGIA AVENUE,RIVERDALE AVENUE,INTERSECTION,BROOKLYN,,Precinct,Closed,12/26/2013 07:03:28 AM,12/26/2013 12:19:34 AM,05 BROOKLYN,BROOKLYN,1013233,180822,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.662943903008035,-73.89553224303461,"(40.662943903008035, -73.89553224303461)"
26985537,12/25/2013 11:02:20 PM,12/26/2013 02:19:10 AM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,10306,40 DONGAN HILLS AVENUE,DONGAN HILLS AVENUE,RICHMOND ROAD,JEFFERSON STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,12/26/2013 07:02:20 AM,12/26/2013 02:18:33 AM,02 STATEN ISLAND,STATEN ISLAND,956294,153513,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.58798978290621,-74.1006528861196,"(40.58798978290621, -74.1006528861196)"
26986314,12/25/2013 11:02:00 PM,12/26/2013 11:45:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10025,875 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 102 STREET,WEST 103 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,12/26/2013 11:45:00 AM,07 MANHATTAN,MANHATTAN,993326,230138,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.79834699128747,-73.96721948323648,"(40.79834699128747, -73.96721948323648)"
26986444,12/25/2013 10:59:42 PM,12/25/2013 11:32:46 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,9 PAERDEGAT 14 STREET,PAERDEGAT 14 STREET,PAERDEGAT AVENUE NORTH,EAST 80 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/26/2013 06:59:42 AM,12/25/2013 11:32:46 PM,18 BROOKLYN,BROOKLYN,1011403,167875,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.627413003587236,-73.90218049239637,"(40.627413003587236, -73.90218049239637)"
26983520,12/25/2013 10:58:21 PM,12/26/2013 01:00:52 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10022,225 EAST 53 STREET,EAST 53 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,12/26/2013 06:58:21 AM,12/26/2013 01:00:53 AM,06 MANHATTAN,MANHATTAN,992930,215222,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.757406904846654,-73.96866901697364,"(40.757406904846654, -73.96866901697364)"
26985116,12/25/2013 10:58:00 PM,,DSNY,P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,Sidewalk,10463,3049 BAILEY AVENUE,BAILEY AVENUE,ALBANY CRESCENT,WEST 231 STREET,,,ADDRESS,BRONX,,N/A,Open,,,08 BRONX,BRONX,1011056,258904,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.87726526291743,-73.90306768739944,"(40.87726526291743, -73.90306768739944)"
26985149,12/25/2013 10:57:26 PM,12/25/2013 11:22:13 PM,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,10312,7 RYAN PLACE,RYAN PLACE,KINGHORN STREET,HYLAN BOULEVARD,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,12/26/2013 06:57:26 AM,12/25/2013 11:22:13 PM,03 STATEN ISLAND,STATEN ISLAND,937711,131931,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.528673362487936,-74.16741055489858,"(40.528673362487936, -74.16741055489858)"
